 lambda    ion      a  w i m     f       gamma
1024.3759 H2_L6_R0 31  2 6 0  2.900e-2  1.300e+9  AR
1024.8786 H2_L8_R7 31  2 8 0  1.900e-2  1.140e+9  AR
1024.9900 H2_L6_R1 31  2 6 0  2.000e-2  1.300e+9  AR
1024.9917 H2_L7_R5 31  2 7 0  1.800e-2  1.200e+9  AR
1025.2821 Cl_I     17 35 1 0                    
1025.4420 D_I_2     1  2 1 0  7.914e-2  1.897e+8  M03
1025.7223 H_I_2     1  1 1 0  7.914e-2  1.897e+8  M03
1025.7616 O_I       8 16 1 0  1.630e-2  1.020e+8  M03
1025.7626 O_I       8 16 1 0  2.910e-3  1.020e+8  M03
1025.7633 O_I       8 16 1 0  1.940e-4  1.020e+8  M03
1025.9376 H2_L6_P1 31  2 6 0  0.910e-2  1.300e+9  AR
1025.9681 Mg_II    12 24 2 1  7.430e-4  8.360e+6  M03
1026.1134 Mg_II    12 24 2 2  3.920e-4  8.360e+6  M03
1026.4744 O_I       8 16 1 0  7.300e-9  4.590e+7  M03
1026.4757 O_I       8 16 1 0  8.710e-8  4.590e+7  M03
1026.5295 H2_L6_R2 31  2 6 0  1.800e-2  1.300e+9  AR
1028.1078 H2_L6_P2 31  2 6 0  1.100e-2  1.300e+9  AR
1028.2517 H2_L7_P5 31  2 7 0  1.100e-2  1.200e+9  AR
1028.9878 H2_L6_R3 31  2 6 0  1.700e-2  1.300e+9  AR
1028.8046 H2_L8_P7 31  2 8 0  2.300e-2  1.140e+9  AR
1030.0746 H2_L7_R6 31  2 7 0  1.800e-2  1.200e+9  AR
1031.1948 H2_L6_P3 31  2 6 0  1.100e-2  1.300e+9  AR
1031.5070 Cl_I     17 35 1 0                    
1031.909  HD_L6_R0 35  3 6 0  2.280e-2  1.000e+9
1031.9265 O_VI      8 16 6 0  1.325e-1  4.149e+8  M03
1032.3513 H2_L6_R4 31  2 6 0  1.700e-2  1.300e+9  AR
1033.9190 H2_L7_P6 31  2 7 0  1.100e-2  1.200e+9  AR
1035.1841 H2_L6_P4 31  2 6 0  1.100e-2  1.300e+9  AR
1036.0034 H2_L7_R7 31  2 7 0  1.800e-2  1.200e+9  AR
1036.3367 C_II      6 12 2 0  1.180e-1  2.200e+9  M03
1036.5462 H2_L5_R0 31  2 5 0  2.700e-2  1.370e+9  AR
1036.6063 H2_L6_R5 31  2 6 0  1.700e-2  1.300e+9  AR
1037.0182 C_II*     6 12 2 0  1.180e-1  2.200e+9  M03;63.42 cm-1
1037.1502 H2_L5_R1 31  2 5 0  1.800e-2  1.370e+9  AR
1037.6155 O_VI      8 16 6 0  6.580e-2  4.076e+8  M03
1038.1579 H2_L5_P1 31  2 5 0  0.870e-2  1.370e+9  AR
1038.6898 H2_L5_R2 31  2 5 0  1.600e-2  1.370e+9  AR
1039.2304 O_I       8 16 1 0  9.070e-3  1.870e+8  M03
1040.0610 H2_L6_P5 31  2 6 0  1.100e-2  1.300e+9  AR
1040.3675 H2_L5_P2 31  2 5 0  1.000e-2  1.370e+9  AR
1040.4268 H2_L7_P7 31  2 7 0  1.100e-2  1.200e+9  AR
1041.1585 H2_L5_R3 31  2 5 0  1.600e-2  1.370e+9  AR
1041.7318 H2_L6_R6 31  2 6 0  1.700e-2  1.300e+9  AR
1042.847  HD_L5_R0 35  3 5 0  2.000e-2  1.000e+9
1043.5036 H2_L5_P3 31  2 5 0  1.100e-2  1.370e+9  AR
1044.5427 H2_L5_R4 31  2 5 0  1.500e-2  1.370e+9  AR
1047.3756 O_I       8 16 1 0  7.080e-8  2.930e+7  M03
1047.5515 H2_L5_P4 31  2 5 0  1.100e-2  1.370e+9  AR
1048.2199 Ar_I     18 40 1 0  2.630e-1  3.180e+7  M03
1048.8291 H2_L5_R5 31  2 5 0  1.500e-2  1.370e+9  AR
1049.3674 H2_L4_R0 31  2 4 0  2.300e-2  1.450e+9  AR
1049.9596 H2_L4_R1 31  2 4 0  1.600e-2  1.450e+9  AR
1051.0327 H2_L4_P1 31  2 4 0  0.760e-2  1.450e+9  AR
1051.4977 H2_L4_R2 31  2 4 0  1.400e-2  1.450e+9  AR
1052.4966 H2_L5_P5 31  2 5 0  1.100e-2  1.370e+9  AR
1053.2840 H2_L4_P2 31  2 4 0  0.910e-2  1.450e+9  AR
1053.9753 H2_L4_R3 31  2 4 0  1.300e-2  1.450e+9  AR
1053.9964 H2_L5_R6 31  2 5 0  1.500e-2  1.370e+9  AR
1054.286  HD_L4_R0 35  3 4 0  1.610e-2  1.000e+9
1054.727  HD_L4_R1 35  3 4 0  1.070e-2  1.000e+9
1055.2617 Fe_II    26 56 2 0  6.150e-3  1.000e+8  M03
1056.4714 H2_L4_P3 31  2 4 0  0.960e-2  1.450e+9  AR
1057.3791 H2_L4_R4 31  2 4 0  1.300e-2  1.450e+9  AR
1060.5802 H2_L4_P4 31  2 4 0  0.980e-2  1.450e+9  AR
1061.6958 H2_L4_R5 31  2 4 0  1.300e-2  1.450e+9  AR
1062.1517 Fe_II    26 56 2 0  2.910e-3  1.000e+8  M03
1062.671  S_IV     16 32 4 0  4.940e-2  1.330e+8  M03
1062.8825 H2_L3_R0 31  2 3 0  1.800e-2  1.536e+9  AR
1063.1764 Fe_II    26 56 2 1  5.470e-2  1.000e+8  M03
1063.4604 H2_L3_R1 31  2 3 0  1.200e-2  1.536e+9  AR
1063.8311 Cl_II    17 35 2 0  5.030e-3  1.670e+8  M03
1063.9718 Fe_II    26 56 2 2  4.750e-3  1.000e+8  M03
1064.6061 H2_L3_P1 31  2 3 0  0.600e-2  1.536e+9  AR
1064.9943 H2_L3_R2 31  2 3 0  1.100e-2  1.536e+9  AR
1065.5958 H2_L4_P5 31  2 4 0  1.000e-2  1.450e+9  AR
1066.271  HD_L3_R0 35  3 3 0  1.140e-2  1.000e+9
1066.629  Si_IV    14 28 4 0  1.000e00  1.000e+8
1066.6598 Ar_I     18 40 1 0  6.750e-2  1.320e+8  M03
1066.9008 H2_L3_P2 31  2 3 0  0.710e-2  1.536e+9  AR
1066.9042 H2_L4_R6 31  2 4 0  1.200e-2  1.450e+9  AR
1067.4783 H2_L3_R3 31  2 3 0  1.000e-2  1.536e+9  AR
1070.1413 H2_L3_P3 31  2 3 0  0.760e-2  1.536e+9  AR
1070.8991 H2_L3_R4 31  2 3 0  0.960e-2  1.536e+9  AR
1071.0358 Cl_II    17 35 2 0  1.500e-2  1.650e+8  M03
1072.99   S_IV     16 32 4 0  1.000e00  1.000e+8
1073.52   S_IV     16 32 4 0  1.000e00  1.000e+8
1074.3125 H2_L3_P4 31  2 3 0  0.780e-2  1.536e+9  AR
1075.2437 H2_L3_R5 31  2 3 0  0.930e-2  1.536e+9  AR
1076.0340 CO_EPXR0 41 28 0 0  6.800e-2  1.000e+9  F01
1075.987  CO_EPXR1 41 28 0 1  3.400e-2  1.000e+9  F01
1076.078  CO_EPXQ1 41 28 0 2  3.400e-2  1.000e+9  F01
1075.940  CO_EPXR2 41 28 0 1  2.720e-2  1.000e+9  F01
1076.077  CO_EPXQ2 41 28 0 2  3.400e-2  1.000e+9  F01
1076.167  CO_EPXP2 41 28 0 3  0.680e-2  1.000e+9  F01
1075.891  CO_EPXR3 41 28 0 1  2.429e-2  1.000e+9  F01
1076.074  CO_EPXQ3 41 28 0 2  3.400e-2  1.000e+9  F01
1076.210  CO_EPXP3 41 28 0 3  0.971e-2  1.000e+9  F01
1077.1420 H2_L2_R0 31  2 2 0  1.200e-2  1.632e+9  AR
1077.7021 H2_L2_R1 31  2 2 0  0.770e-2  1.632e+9  AR
1078.708  N_IV      7 14 4 0  1.000e00  1.000e+8
1078.9290 H2_L2_P1 31  2 2 0  0.390e-2  1.632e+9  AR
1079.2281 H2_L2_R2 31  2 2 0  0.680e-2  1.632e+9  AR
1079.4001 H2_L3_P5 31  2 3 0  0.790e-2  1.536e+9  AR
1080.4914 H2_L3_R6 31  2 3 0  0.890e-2  1.536e+9  AR
1081.2690 H2_L2_P2 31  2 2 0  0.470e-2  1.632e+9  AR
1081.7141 H2_L2_R3 31  2 2 0  0.640e-2  1.632e+9  AR
1081.8748 Fe_II    26 56 2 0  1.260e-2  1.000e+8  M03
1083.4204 Fe_II    26 56 2 0  2.800e-3  1.000e+8  M03
1083.9937 N_II      7 14 2 0  1.110e-1  3.740e+8  M03
1084.5637 H2_L2_P3 31  2 2 0  0.500e-2  1.632e+9  AR
1084.5659 N_II*     7 14 2 1  2.720e-2  3.740e+8  M03;48.67 cm-1
